key_resp.corr,key_resp.rt,,,,SeqRT,RanRT
1,1.1416384,,,,1.1416384,2.9872601
1,0.5309008,,,,0.5309008,0.9183328
1,0.7983788,,,,0.7983788,0.9250207
1,0.8506023,,,,0.8506023,0.5407284
1,0.8530878,,,,0.8530878,0.7450216
1,1.142211,,,,1.142211,0.7894319
1,0.4603041,,,,0.4603041,0.5813541
1,0.3479673,,,,0.3479673,0.4701663
1,0.3606229,,,,0.3606229,0.8861801
1,0.3113168,,,,0.3113168,0.6481023
1,0.2931789,,,,0.2931789,0.6636835
1,0.2540842,,,,0.2540842,0.5465713
1,0.2824475,,,,0.2824475,0.4565125
0,0.6080319,,,,0.6080319,0.4328367
1,0.316288,,,,0.316288,0.7124378
1,0.2930759,,,,0.2930759,0.681497
1,0.3176865,,,,0.3176865,0.5673747
1,0.2527907,,,,0.2527907,0.6440714
1,0.3438998,,,,0.3438998,0.7428951
1,0.3048186,,,,0.3048186,0.6656769
1,0.5943478,,,,0.5943478,0.7176597
1,1.0309502,,,,1.0309502,0.505782
1,0.3046006,,,,0.3046006,0.7460287
1,0.2967442,,,,0.2967442,0.7447137
1,0.3163887,,,,0.3163887,0.3811582
1,0.3118436,,,,0.3118436,0.6447847
1,0.2689141,,,,0.2689141,0.6953065
1,0.2967165,,,,0.2967165,0.6317136
1,0.7067291,,,,0.7067291,0.4068881
1,0.3475979,,,,0.3475979,0.3844511
1,0.2878344,,,,0.2878344,0.422948
1,0.317918,,,,0.317918,0.5321212
1,0.2724758,,,,0.2724758,0.531431
1,0.3688612,,,,0.3688612,0.370148
1,0.5349607,,,,0.5349607,0.493445
1,0.3387055,,,,0.3387055,0.5996993
1,1.1696746,,,,1.1696746,0.4143265
1,0.5280793,,,,0.5280793,0.5188742
1,0.4553848,,,,0.4553848,0.3937797
1,0.3624122,,,,0.3624122,0.6163961
1,0.5222104,,,,0.5222104,0.4450282
1,0.3339968,,,,0.3339968,0.5222656
1,0.3871332,,,,0.3871332,0.5291128
1,0.2808291,,,,0.2808291,0.3390958
1,0.8435294,,,,0.8435294,0.3830062
1,0.3164049,,,,0.3164049,0.4117301
1,0.3058219,,,,0.3058219,0.5259265
1,0.5367535,,,,0.5367535,0.4034514
1,1.0583381,,,,1.0583381,0.5824524
1,0.3813691,,,,0.3813691,0.546134
1,0.4205173,,,,0.4205173,0.3391739
1,0.2826709,,,,0.2826709,0.503931
1,0.8205959,,,,0.8205959,0.3238917
1,0.7904592,,,,0.7904592,0.3616505
1,0.458944,,,,0.458944,0.8120681
1,0.3085825,,,,0.3085825,0.6802571
1,0.7770988,,,,0.7770988,0.5614052
1,1.0214467,,,,1.0214467,0.4807878
